build_number,execution_time,name,status,duration_ms,error,screenshot,longrepr
0,2025-11-21 10:31:48,tests/test_logout_ui.py::test_logout_after_login[chromium],failed,44,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 10:31:48,tests/test_negative_ui.py::test_invalid_credentials[chromium],failed,43,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 10:31:48,tests/test_negative_ui.py::test_empty_fields[chromium],passed,310,,,
0,2025-11-21 10:31:48,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,351,,,
49,2025-11-21 11:46:07,tests/test_1login_ui.py::test_valid_login[chromium],passed,359,,,
49,2025-11-21 11:46:07,tests/test_cart_ui.py::test_valid_login[chromium],passed,305,,,
49,2025-11-21 11:46:07,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1223,,,
49,2025-11-21 11:46:07,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,340,,,
49,2025-11-21 11:46:07,tests/test_negative_ui.py::test_empty_fields[chromium],passed,233,,,
49,2025-11-21 11:46:07,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,250,,,
50,2025-11-21 11:48:43,tests/test_1login_ui.py::test_valid_login[chromium],passed,445,,,
50,2025-11-21 11:48:43,tests/test_cart_ui.py::test_valid_login[chromium],passed,321,,,
50,2025-11-21 11:48:43,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1221,,,
50,2025-11-21 11:48:43,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,270,,,
50,2025-11-21 11:48:43,tests/test_negative_ui.py::test_empty_fields[chromium],passed,239,,,
50,2025-11-21 11:48:43,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,266,,,
67,2025-11-21 23:48:44,tests/test_1login_ui.py::test_valid_login[chromium],passed,452,,,
67,2025-11-21 23:48:44,tests/test_cart_ui.py::test_valid_login[chromium],passed,387,,,
67,2025-11-21 23:48:44,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1287,,,
67,2025-11-21 23:48:44,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,334,,,
67,2025-11-21 23:48:44,tests/test_negative_ui.py::test_empty_fields[chromium],passed,324,,,
67,2025-11-21 23:48:44,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,348,,,
68,2025-11-22 00:41:41,tests/test_1login_ui.py::test_valid_login[chromium],passed,447,,,
68,2025-11-22 00:41:41,tests/test_cart_ui.py::test_valid_login[chromium],passed,322,,,
68,2025-11-22 00:41:41,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1224,,,
68,2025-11-22 00:41:41,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,262,,,
68,2025-11-22 00:41:41,tests/test_negative_ui.py::test_empty_fields[chromium],passed,222,,,
68,2025-11-22 00:41:41,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,251,,,
69,2025-11-22 06:14:10,tests/test_1login_ui.py::test_valid_login[chromium],passed,646,,,
69,2025-11-22 06:14:10,tests/test_cart_ui.py::test_valid_login[chromium],passed,417,,,
69,2025-11-22 06:14:10,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1340,,,
69,2025-11-22 06:14:10,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,378,,,
69,2025-11-22 06:14:10,tests/test_negative_ui.py::test_empty_fields[chromium],passed,374,,,
69,2025-11-22 06:14:10,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,393,,,
70,2025-11-22 12:15:18,tests/test_1login_ui.py::test_valid_login[chromium],passed,486,,,
70,2025-11-22 12:15:18,tests/test_cart_ui.py::test_valid_login[chromium],passed,330,,,
70,2025-11-22 12:15:18,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1221,,,
70,2025-11-22 12:15:18,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,271,,,
70,2025-11-22 12:15:18,tests/test_negative_ui.py::test_empty_fields[chromium],passed,239,,,
70,2025-11-22 12:15:18,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,284,,,
71,2025-11-22 18:12:47,tests/test_1login_ui.py::test_valid_login[chromium],passed,371,,,
71,2025-11-22 18:12:47,tests/test_cart_ui.py::test_valid_login[chromium],passed,314,,,
71,2025-11-22 18:12:47,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1232,,,
71,2025-11-22 18:12:47,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,261,,,
71,2025-11-22 18:12:47,tests/test_negative_ui.py::test_empty_fields[chromium],passed,242,,,
71,2025-11-22 18:12:47,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,270,,,
72,2025-11-23 00:50:42,tests/test_1login_ui.py::test_valid_login[chromium],passed,631,,,
72,2025-11-23 00:50:42,tests/test_cart_ui.py::test_valid_login[chromium],passed,344,,,
72,2025-11-23 00:50:42,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1239,,,
72,2025-11-23 00:50:42,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,277,,,
72,2025-11-23 00:50:42,tests/test_negative_ui.py::test_empty_fields[chromium],passed,260,,,
72,2025-11-23 00:50:42,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,281,,,
73,2025-11-23 06:14:15,tests/test_1login_ui.py::test_valid_login[chromium],passed,526,,,
73,2025-11-23 06:14:15,tests/test_cart_ui.py::test_valid_login[chromium],passed,393,,,
73,2025-11-23 06:14:15,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1325,,,
73,2025-11-23 06:14:15,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,343,,,
73,2025-11-23 06:14:15,tests/test_negative_ui.py::test_empty_fields[chromium],passed,312,,,
73,2025-11-23 06:14:15,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,329,,,
74,2025-11-23 12:15:12,tests/test_1login_ui.py::test_valid_login[chromium],passed,378,,,
74,2025-11-23 12:15:12,tests/test_cart_ui.py::test_valid_login[chromium],passed,336,,,
74,2025-11-23 12:15:12,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1239,,,
74,2025-11-23 12:15:12,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,293,,,
74,2025-11-23 12:15:12,tests/test_negative_ui.py::test_empty_fields[chromium],passed,260,,,
74,2025-11-23 12:15:12,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,301,,,
75,2025-11-23 18:13:02,tests/test_1login_ui.py::test_valid_login[chromium],passed,471,,,
75,2025-11-23 18:13:02,tests/test_cart_ui.py::test_valid_login[chromium],passed,443,,,
